,gene_id,gene_name,gene_type,unstranded,stranded_first,stranded_second,tpm_unstranded,fpkm_unstranded,fpkm_uq_unstranded,class
59470,ENSG00000287060.1,AC021220.2,lncRNA,0,0,0,0.0,0.0,0.0,1
59471,ENSG00000287061.1,AC124248.2,lncRNA,4,70,69,0.1203,0.0459,0.0504,1
59472,ENSG00000287062.1,AL121582.1,lncRNA,0,0,0,0.0,0.0,0.0,1
59473,ENSG00000287063.1,AL356489.3,lncRNA,0,0,0,0.0,0.0,0.0,1
59474,ENSG00000287064.1,AL606500.1,lncRNA,6,3,3,0.2645,0.101,0.1108,1
59475,ENSG00000287065.1,AP005209.2,lncRNA,0,0,0,0.0,0.0,0.0,1
59476,ENSG00000287066.1,AP000962.3,lncRNA,0,0,0,0.0,0.0,0.0,1
59477,ENSG00000287067.1,AC106791.3,transcribed_processed_pseudogene,10,6,4,0.1788,0.0683,0.0749,1
59478,ENSG00000287068.1,AP004606.1,lncRNA,0,0,0,0.0,0.0,0.0,1
59479,ENSG00000287069.1,AC061958.1,lncRNA,62,34,36,1.0203,0.3896,0.4272,1
59480,ENSG00000287070.1,AL499604.1,lncRNA,1,0,1,0.0912,0.0348,0.0382,1
59481,ENSG00000287071.1,CDRT15P4,transcribed_unprocessed_pseudogene,6,4,2,0.2309,0.0882,0.0967,1
59482,ENSG00000287072.1,AC021134.2,lncRNA,0,0,0,0.0,0.0,0.0,1
59483,ENSG00000287073.1,AC106706.2,lncRNA,0,0,0,0.0,0.0,0.0,1
59484,ENSG00000287074.1,AC137561.1,lncRNA,1,1,0,0.0648,0.0247,0.0271,1
59485,ENSG00000287075.1,AC126468.1,lncRNA,0,0,0,0.0,0.0,0.0,1
59486,ENSG00000287076.1,AC092805.1,lncRNA,0,0,0,0.0,0.0,0.0,1
59487,ENSG00000287077.1,AL157893.2,lncRNA,17,10,15,0.6497,0.2481,0.272,1
59488,ENSG00000287078.1,AL513218.2,lncRNA,2,2,0,0.1149,0.0439,0.0481,1
59489,ENSG00000287079.1,AL109806.2,lncRNA,1,0,1,0.024,0.0092,0.01,1
59490,ENSG00000287080.2,H3C3,protein_coding,9,1,8,0.9993,0.3816,0.4184,1
59491,ENSG00000287081.1,AC104656.1,lncRNA,0,0,0,0.0,0.0,0.0,1
59492,ENSG00000287082.1,AP001042.3,lncRNA,0,0,0,0.0,0.0,0.0,1
59493,ENSG00000287083.1,AC108169.1,lncRNA,0,0,0,0.0,0.0,0.0,1
59494,ENSG00000287084.1,AL355337.1,lncRNA,0,0,0,0.0,0.0,0.0,1
59495,ENSG00000287085.1,AC012066.1,lncRNA,1,0,1,0.0293,0.0112,0.0123,1
59496,ENSG00000287086.1,AC034193.1,lncRNA,0,521,570,0.0,0.0,0.0,1
59497,ENSG00000287087.1,AC025175.2,lncRNA,1,1,0,0.0438,0.0167,0.0183,1
59498,ENSG00000287088.1,AP001066.1,lncRNA,0,0,0,0.0,0.0,0.0,1
